test_example_id,story,predicted_gender
0,קיץ אני המשפחה נוסעים לארצות הברית לוס אנג לס קליפורניה כדי לבקר המשפחה אמא שלי שגרה שם  תמיד עושה טוב ללכת לראות משפחה שהתגעגענו אליהם ראינו למשך השנה  אחת השנים אני דוד שלי החלטנו שאנחנו רוצים ללכת יחד לדיסנילנד  היה מאוד מרגש מעולם הייתי לפני אפילו יותר מרגש שזכיתי ללכת לשם איתו  קמנו מוקדם בוקר כדי שנוכל לנצל כמה שיותר מהיום שלנו שם  שבע בוקר כבר היית השקמה  הוא מחכה מחוץ לבית אני צריכה לצאת אליו  הנסיעה לשם הייתה הדרך לשם שמנו מוזיקה נהנו מהיום היפה שהתחיל ידענו למה אני מצפה לו  כאשר הגענו לשם כבר שמונה חצי היה תור כדי להכנס הרכבים אבל ידענו שזה יהיה שווה משנה מה  סוף סוף נכנסנו המראה היה מרהיב  חלק חלק מהספסלים החנויות הקטנות היה מורכב מבוים קפידה פלאית  ידענו כבר מההתחלה שאנחנו מתכוונים לעלות כמה שיותר הרכבות הרים אנחנו הולכים לנסות דבר שרק אפשר  אכן עמדנו משימה  נדהמתי לגלות שבדיסנילנד אין רכבות הרים דברים יפים  אלא מסעדות עלות עולמי מאפיות מאוד איכותיות  לקראת הערב ישבנו אחת המסעדות פארק נהנו מארוחה מפנקת  הערב כבר יורד השמש שוב יורדת מצעד כ500 דמויות שנוצצות מלאות אורות ירה ריקוד  הדמויות המוכרות שנות אור  צעצוע סיפור  לילו סטיץ עוד   ממש סוף היום אפשר להנות ממופע המים מזיקוקים מיני צורות צבעים שמיים  לקראת השעה אחת עשרה לילה השערים מתחילים להסגר כולם חוזרים הביתה אחרי יום ארוך מספק  דוד שלי לקח אותי הביתה הנסיעה חזרה הייתה הרבה יותר רגוע קטה למרות שזה קרה ממש לפני מספר דקות יכולנו להפסיק לדבר שהרגע קרה היום המדהים שהרגע עברנו נזכור לעוד הרבה מאוד שנים  קשה מאוד לסכם יום כזה מלא חוויות הרפתקאות חדשות שחוויתי  אמת זכיתי ליום מיוחד כזה הלוואי יום מין הימים יגיעו לפתוח דיסנילנד ארץ ישראל ,m
1,הגעתי לשירות המדינה אחרי שנתיים כפעיל תנועת  ישראל 2050“  שנתיים שהיו מלאות עשייה אזרחית מאבקים  ישראל 2050 עושים עבודה מדהימה   ״ליטרלי״ מצילים המדינה שלב מסוים הרגשתי שקצת מיציתי העשייה מבחוץ  הרבה  לדבר על   לעשות את   אחד הסמינרים הארגון הגיע רועי דרור ממשרד רוה ם להרצות  אחרי ההרצאה שלו החלטתי  אני רוצה להתמחות אצלו  פניתי אליו עזרת אחראית התעסוקה אצלנו מכללה הוא הסכים  החוויה להיות מתמחה משרד ממשלתי הייתה מורכבת  מצד אחד  אתה עובד שכר אתה נמצא הרבה פחות מהאנשים שעובדים שביל שתוכל לומר משהו חכם  מצד שני  החשיפה למנגנונים  לאנשים לאופן שבו הדברים נעשים הייתה ממש חשובה בנתה כמה קומות שבאו לידי יטוי אח ך  רועי נתן נושא ספציפי אחד להתעסק אותי לדבר אנשים מהתחום לנסות לגבש המלצות  כאן מגיעה ההמלצה הראשונה שלי לסטודנטים שירות המדינה תבקשו נושא אחד שתתעמקו תתמחו תנסו להתפרש יותר מדי תלכו לאיבוד  אתה מומחה מבין משהו מקשיבים יותר  הביטחון העצמי עולה אתם מרוויחים משהו שתוכלו לקחת הלאה לתפקידים הבאים  אחרי שנה כמתמחה החלטתי לגשת למכרזים לתפקיד סטודנט התקבלתי לאגף אסטרטגיה מדיניות משרד הבינוי השיכון  אחד המשרדים שנשמעים הכי משמימים מבחוץ  אבל גיליתי עולם מלא עניין  עצם שיכון נוגע לכל נדבך נדבך חיים שלנו  נגעתי פערים חברתיים  תכנון עירוני  הבדלים אוכלוסיות חברה הישראלית  כלכלה לא  יותר מהכל היה משמעותי הצוות שעבד איתי כאן ההמלצה השנייה לסטודנטים שירות המדינה  תחתרו להכיר להתחבר לכמה שיותר אנשים  אחד המפתחות המרכזיים להתקדמות המשך  הייתי מחלק לשניים  אנשים מהתחום שבו אתם רוצים להתקדם כמה שיכירו אתכם יותר יותר טוב החלק השני מקבילים אליכם  השתתפתי תכנית  המסלול  לסטודנטים שירות המדינה  מעבר לתכנים המעניינים היא יצרה קבוצת חברים שפרוסה המון משרדי ממשלה  ליצור שיתופי פעולה הרבה יותר אתה מכיר אנשים מהצד השני  היה קשר ישיר התואר שלמדתי לתפקיד הסטודנט  למדתי אסלאם מזרח תיכון מרכז האקדמי שלם  אבל סופו דבר אתה מגלה שיכולות שאתה רוכש מסגרת הלימודים מתבטאות עבודה שלך  היכולת לשאול שאלות להטיל ספק  ההבנה שהידע נמצא מקומות מגוונים עבודה טובה היא כזו שיודעת להקשיב  ההשפעה הייתה כיוון ההפוך  הלימודים שלי קיבלו תפניות עקבות העבודה  ניסיתי לחבר אותם כמה שיותר לעולם המעשי אחת העבודות הסמינריוניות כתבתי עירוניות פלסטינית ששילב שני העולמות האתגרים שירות המדינה אינסופיים  למעשה 99  מההצלחה שלך תלויה הגדרות התפקיד במיוחד סטודנטים רורות  כמות הבירוקרטיה היא אינסופית קשה מאד לשנות מערכת מורכבת כך  כאן ההמלצה השלישית לסטודנטים שירות המדינה  תבואו מאה אחוז מוטיבציה אפס אחוז ציפיות  פשוט  אבל יחסוך לכם הרבה תסכול  תזכרו תמיד שצריך לכבד המערכת שכבר נמצאת שם  רובנו דור שחושבים שהם מבינים יותר מכולם  שירות המדינה הרבה אנשים ניסיון חכמת חיים שאין לנו  במערכת יהיו תמיד עיות קשיים פשוט היא מערכת  כיום אני אנליסט מרכז הידע האסטרטגיה ארגון  מעוז  שבונה רשת מנהיגים מהמגזר הציבורי הפרטי שפועלת סיס אמון לחיזוק החוסן החברתי כלכלי מדינת ישראל  ארבעה תחומים חינוך  תעסוקה  רשויות מקומיות בריאות  אני מתעסק אופן ספציפי רשויות מקומיות  סופו דבר המשך ישיר לדברים שהתעסקתי איתם משרד הבינוי השיכון  עירוניות  צמצום פערים עוד ,m
2,אחת האהבות הגדולות שלי אלו הכלבים שלי אישתי  למי שיש כלבים מבין יודע שהם ממש כמו ילדים  שנה האחרונה חווינו אני אישתי חווייה נעימה כמעט איבדנו הכלבה שלנו  אחד הערבים שישבנו גינה הכלבים שיחקו אחד השני הילדים חצר  לפתע הכלבה שלנו השתטחה הרצפה התחילה להתגלגל הלוך חזור הלוך חזור  היא ממש איבדה שליטה הגוף שלה  התחלה היה ניראה עובר עליה משהו אלא כולם צחקו חשבו שהיא משתוללת נהנת מהמשחק  לאחר כמה שניות היה רור לכולנו עובר עליה משהו היא נמצאת מצוקה  אישתי רצה מהר להרים אותה בלי לחשוב פעמיים אני כבר חיכיתי אוטו ישר נסענו לבית החולים לחיות  תוך כדי הנסיעה הרצתי לעצמי ראש הדברים הכי נוראיים שיכולים לקרות   הגענו לבית החולים הכלבה עדיין הייתה משותקת התווספו עיוותים לתי רצוניים פנים שעורר היסטריה חרדה עצומה  למזלי אנחנו מכירים המקום קיבלו אותנו לטיפול שיא המהירות אחרי כמה שעות דיקות תרופות היא חזרה לעצמה  הרופאים אמרו לנו שככל הניראה היא סובלת ממחלת האפילפסיה  אני יודע שזה יכול להישמע הזוי אבל הרגשתי כאוב לגלות שלכלבה שלי שהיא כמו ילדה שבילי  מחלה ללא פתרון  מאז המקרה אנחנו חווים עולם חדש שבו פעם שבועיים ערך הכלבה שלנו מקבלת התקף שמשאיר אותנו חסרי פעימה פעם קורה  החלטנו לחקור הנושא היה לנו חשוב להבין מאיפה המחלה הזו הגיעה האמנו גילינו האנשים שמהם קנינו אותה  משתמשים כלבים שלהם מנת לייצר גורים רבים ככל האפשר חלים אמצעים   גילינו שההורים שלה אחים  דבר שאסור חוקי הטבע  מאחר ידוע גורם למחלות גורים  לצערי הרב אין אמת פתרון למחלה הכלבה שלנו לאותם אנשים שרק כסף מניע אותם מקדש האמצעים  מהתקף להתקף אנחנו לומדים כיצד להתמודד כיצד לעזור לכלבה המתוקה שלנו לעבור זה ,m
3,רגע הגיוס לצבא היה הרגע הכי משמעותי עבורי  אני זוכר עוד כתלמיד שקיבלתי הגיוס איך התרגשתי הייתי לחוץ מהיום הזה שיגיע האם אמצא חברים חדשים האם אצליח להתרגל למסגרת הזו שאתה רחוק מהבית איזור הנוחות שלך עלו הרבה שאלות תהיות אותה תקופה  מיוחד אני תור האח הגדול מבין האחים משפחה שמתגייס  היה לשאול להתייעץ לכן אני חושב שנורא חששתי הרגע הזה  הייתי אלו שהתגייסו ראשונים מכל החברים שלי  הסתמכתי דברים שכתבו אינטרנט הצבא  כמה אנשים חרא כמה מפקדים רעים יש  לכן הוסיף לכל החששות שלי  מאז מתמיד רציתי להיות לוחם להגשים החלום שלי  למרות שהוריי היו נגד הצעד הזה הצלחתי לשכנע אותם להסביר להם שאני חייב תחושת הסיפוק הזו כדי לדעת דברים  אחד לדעת שאני מסוגל פיזית לעמוד מסלול הכשרה כזה  תיים שרציתי לתרום החלק שלי למדינה הזו ללכת שירות קרבי  עברתי המון גיבושים מיונים לתפקיד שלי צבא  לקחו אותנו מיונים לקורס חובלים לספינה  במשך יומיים שלמים הפסיקו לטרטר אותנו כדי לשבור אותנו נפשית  אמנם איפשרו לנו לפרוש שלב נתון הכריחו אותנו להישאר אבל כולנו ידענו שאלו שיישברו יפרשו יעברו הגיבוש יודחו מהאופציה להתגייס לחובלים  נתנו לנו מלא משימות פיזיות  העירו אותנו אמצע השינה לריצות זחילות שפת הים  צעקו עלינו הפסיקו לזלזל כדי לגרום לכמה שיותר אנשים ללכת הביתה  ידעתי שזה חלק מהמשחק נשברתי לרגע  המשכתי שארית כוחותיי לעמוד המשימות לתת המקסימום  לאחר יומיים גיבוש משימות העמידו כולנו שורה הקריאו אלו שהמפקדים הכי התרשמו יניהם  אני הייתי הרשימה הזו בעצם נודע שהתקבלתי ליחידת החובלים  מסלול ההכשרה לאחר הגיוס היה קשה הוא  אבל המזל שלי היה שהתחברתי כמעט לכולם היו איתי אחלה חברה  חברים שאני שומר איתם קשר היום,m
4,אני הגעתי לברזיל ישר מקולומביה אני עשיתי עבודת מחקר רזיל החלטתי סוף לטוס נחתתי ריו ז׳נרו יצרתי קשר איתמר המרכז הישראלי רזיל הוא הסביר שהכל רגיל  הכל מתוייר אין לדאוג הקורונה היא קשה ברזיל נפתחה ממזמן לתיירים  הגעתי יום חמישי לברזיל כבר הספקתי להסתובב עיר  הקניונים מלאים תיירים מקומיים  המסעדות מאוד זולות החוף מפוצץ רזיל מדינה טרופית לפעמים יורד גשם  יורד גשם  מעט דברים לעשות ריו שאפשר להתייעץ איתמר  אבל גדול  עכשיו רזיל נכנסת לעונת הקיץ  נחזור שוב פעם לאיתמר התותח שלא החסיר מאיתנו פיסת מידע העיר הסביר לנו אטרקציה אפשרית  יום שישי יצאתי דרכו לסיור עיר מושלם ריו הוא אסף כולנו רכב הפרטי שלו אחד מההוסטל שלו  יש לציין שבעונה הגל ברזיל לאיתמר סוכנות טיולים סיורים  עובדים  מיניבוסים הוא דואג להכל   התחלנו הסיור פסל הגדול ישו Cristo Redentor שנחשב לפלא עולם ממנו אפשר לראות החופים המושלמים ריו נוף מטורף העיר  המשכנו למדרגות הכי מתוירות פוטוגניות העיר Escadaria Selarón איתמר הסביר לנו המדרגות המשמעות האמיתית שלהן  ספויילרים   אפשר לראות אריחי קרמיקה מכל מדינה עולם אריחים כיתוב עברית   אחרי הלכנו למסעדה לבנונית מאוד טעימה זולה אופציות טבעוניות צמחוניות  אישית היה חשוב אני אוכלת חול איתמר דאג להכל   המשך הלכנו לקיר גרפיטי הכי גדול עולם אפשר לעשות תמונות מגניבות החלק הכי חשוב סיור הוא הפבלות רזיל  ירדנו מהרכב ישר למגרש כדורגל הפאבלה שיחקנו המקומיים שכל התרגשו מהמשחק בסוף קנינו להם שתייה חטיפים הצטרף אלינו מדריך מקומי ראש מאפיה לשעבר שעשה לנו סיור פאבלות הסביר לנו ההיסטוריה המקום כמובן סיפר לנו סיפור חייו המרתק  הליכה תוך הפאבלה תראו צדדים המון מקומיים נשקים אין לחשוש כולם מכירים המדריך יודעים שאנחנו סדר  הגענו סוף למרכז הסמבה  הסבירו לנו שבכל פאבלה מרכז כזה שעוזר לילדים הפאבלות להתעסק דברים אחרים להשאב לפשע לעוני המקום סוג דרך מילוט מכל הבעיות המקום  ארגנו לנו מופע מיוחד תופים  רקדנית סמבה לימדה אותנו צעדים הסמבה בהמשך עשו לנו מופע קפוארה לקחנו חלק הצעדים  כולם קיבלו אותנו יפה סיור שאסור לוותר עליו    אני אישית עשיתי עכשיו האטרקציה הזאת אבל חברה שלי עשתה דרך איתמר הדאון שאסור לפספס אותו עוד מליון אטרקציות עיר שווה לדבר איתו  רזיל היא ירת הכדורגל העולמי אנחנו נפלנו סופש משחק דרבי מטורף איתמר דאג לנו לכרטיסים טובים מוזלים לאצטדיון כדורגל Maracanã שלא יודע דבר ברזיל מבקשים cpf מסמך מיוחד כמו תעודת זהות שמראה שאתה תושב המקום תושב חוץ מקנה כניסה למקומות הנחות איתמר סידר לנו כניסה ירוקרטיות מיותרות  אני ישנה הוסטל social הוא דקות הליכה מהרצועת חוף הכי יפה שיש Copacabana ליד ההוסטל מרחק הליכה כמה דקות סופרים אפשר לבשל הוסטל  מבחינת מסעדות ממול להוסטל האסאי הכי שווה שיש עוד מסעדות המבורגרים בשרים אני אישית מבחינת רות טעמתי אבל כולם המליצו ממש  ריו חיי לילה מטורפים מסיבות מטורפות מועדונים ברים טובים הרחוב המרכזי המסיבות קוראים Lapa אנחנו אישית נעזרנו צעירים שיושבים קבלה הוסטל שלנו מוכרים לנו כרטיסים מוזלים למסיבות דרך איתמר הטבות שתייה חינם הערב ממליצים לנו המסיבות הכי טובות שיש ,m
5,פעם האחרונה שהייתי מחוץ לארץ ישראל הייתי אפריקה  תכננתי לטוס לאפריקה משך הרבה זמן מצאתי המועד הנכון לעשות זאת  פברואר שנה שעברה מצאתי ימים ריקים יומן שלי החלטתי לקנות כרטיס  לסגור מלון לטוס לטייל אפריקה  אחרי ההחלטה התחלתי לארוז המוץ ילה שלי שהייתה ארון זמן  מאז הטיול הגדול למזרח אחרי הצבא  מתי הדברים החשובים שלי  כמובן שלא שכחתי אמצעי הגנה נגד מזיקים  יתושים מחלות לרבות מלריה שנגדה לקחתי הכדור מלרון עוד לפני שהגעתי ליבשת  הטיסה שלקחתי הייתה שבת בוקר נסעתי לנמל תעופה גוריון מוניות מביתי שבתל אביב  אחרי שסיימתי הץ ק אין הבידוק הבטחוני הגעתי למתחם הדיוטי פרי שבטרמינל לרגע שכחתי שאני לאפריקה  מדינה שבה מעט כסף ישראלי הוא המון התחלתי לבזבז ללא הכרה  קניתי יוקרתי  פקט סיגריות לחבר  קבוקי יין לארוסתי  קבוק ויסקי איכותי מחשש שלא אמצא כזה אפריקה עוד שלל ממתקים דברים שלא אמת הייתי צריך אבל התלהבתי לקנות אותם כאילו זאת הפעם הראשונה האחרונה שאני דיוטי פרי  דבר שגוי מכיוון שהייתי מרבה לטוס לפני תקופת הקורונה  לאחר שרכשתי מיטב כספי המוצרים הרגשתי רעב לכן הלכתי למקדולנלדס רכשתי ארוחת שעה 08 30 בוקר  דבר מעט מוזר שחושבים לאחור אבל זאת היה נראה הגיוני אותו הזמן  שעליתי למטוס הדיילת חייכה אליי אמרה  יש אחלה מושב אדוני  באמת היה  קיבלתי מושב הרבה מקום לרגליים יציאת החירום  אולי גלל שחייכתי לץ קרית דלפק הץ ק אין גלל שהיא חשבה שאם היא תשדרג אותי אבקש ממנה הטלפון אתחיל איתה  מקרה  אמרתי תודה לדיילת התיישבתי ציפייה להמריא ליעד הראשון אפריקה אדיס אבבה  אתיופיה  המטוס התחיל לטוס ההתרגשות הייתה שיאה  שוב  הרגשתי שזאת הפעם האחרונה שאני עומד לטוס לזמן הקרוב אמת הבנתי למה   פתחתי הספר שלי  לונלי  שכבר קראתי סיימתי אותו דמעות חזרתי לקרוא שוב  כנראה גלל שהספר מספר נווד ישראלי שמטייל אפריקה חששות בלי כיוון משמעותי לחיים  דבר שכל שונה ממני האדם המחושב המתוכנן שמחשב צעד החלטה  לאחר כמה שעות נחתנו אדיס אבבה החלטתי לקחת טיסת המשך לאנטבה  אוגנדה  שוב עליתי למטוס חייכתי לכולם מטרה להראות שישראלים מנומס אולי לזכות כיסא מקום לרגליים הפעם צלח התיישבתי מקומי מעבר ליד נשים חזות ערבית גלביות ממוצא אפריקאי  אחת אימא השנייה ילדתה  האימא שאלה אותי מהו שמי האם אני רוצה לקחת לאישה יתה תמורת ית  עדר כבשים זהב  כמובן שדבר היה מצריך אותי לעזוב ישראל לתמיד לעבור לסומליה ,m
6,שנת 2018 קיבלתי החלטה שאני מתחיל ללמוד לתואר ראשון מדעי המחשב  שונה מרוב הסטודנטים החלטתי ללמוד כדי למצוא עבודה המשך אלא כדי להעשיר עצמי להפתח לעולמות חדשים עולם הטכנולוגיה שכן התחלתי ללמוד כבר עבדתי ענף ההייטק מספר שנים  היום אחרי שנים אני יכול לומר שהמערכת האקדמאית עדיין תקועה מאחור איכזבה אותי מאוד  80  מהתואר כלל נוגע דברים רלוונטיים לתעשייה ה 20  רחוקים מלהיות חדשניים מעודכנים  המבנה הלימודים המבחנים דחקו אותי למצב שבו למדתי כדי לעבור כדי ללמוד הדגש היה ציונים מקום אתגר מחשבתי העשרת הידע  אני חושב שאם האקדמיה תמציא עצמה מחדש כמו שעשו חברת Coursera  יהיה מקום עולם החדש  דור ה Z כבר יפול למלכודת התואר יסכים לבזבז שנים מחייו כדי להוכיח שהוא שווה משרת Junior כלשהי תחום כלשהו  ספציפית מדעי המחשב אני מסכים שכן חשוב להבין הצד התיאורתי המתמטי הנושא אבל הוא יכול להוות אחוז מהתוכן הלימודי  כתיבת הפסקה הזאת היא דוגמא קלאסית לכמה אנחנו מבזבזים הזמן אקדמיה  משימה שלא קשורה לכלום כאשר הבטחה מעורפלת שהיא תעזור לנו המשך עוד מפתים אותנו לבצע אותה נקודות עלובות פשוט דיחה זלזול אינטלגנציה  החוויה שלי מהלימודים היא מאוד מאכזבת  מבחינה מקצועית מרגיש שקיבלתי כלים להתחיל להתמודד אפילו האתגרים שיש חוץ  אפשר לשפר  אני חושב שקודם צריך לשפר התקשורת המרצים לסטודנטים  מרגיש שהם קשובים מספיק  נוסף לכך  אני חושב שכדאי להכניס תוכן קצת יותר עדכני רלוונטי לתעשייה להוריד קצת מהחומר שלא רלוונטי שום צורה  הייתי שוקל להקדיש הסימסטר האחרון לסימלוץ העבודה אזרחות  כלומר קורסים שמדמים עבודה שוטפת חברת הייטק  תור מפתח מנהל מוצר כו  ספרינטים משימות הכל  ככה סטודנטים יגיעו שוקיסטים לתעשייה  זהו אין כבר לכתוב דוחף עוד כמה מילים סתם כדי להגיע לשלוש מאות,m
7,נובמבר האחרון הייתי חברים טיול ים  הטיול כולל הליכה ארוכה מחוף הים הכנרת שלוקחת כארבעה ימים כשבעים קילומטר  משך ההליכה היה מאוד קשה מכיוון שנאלצנו לסחוב הציוד הגב שלנו  הציוד שוקל כעשרים קילוגרמים לכל אחד כולל אוכל  אוהל  שינה  גדים עוד  יום היינו מחוייבים להגיע לנקודת הלינה הבאה אנחנו יכולים לישון טבע  היום הראשון היה היום הכי קשה  נאלצנו ללכת הליכה מאוד ארוכה בסופה לעלות כדי להגיע לנקודת הלינה שלנו  אישית היה מאוד קשה גלל שאני חור ספורטיבי הליכה כלכך ארוכה משקל מאוד כבד הייתה מאוד קשה  סופה אפילו הקאתי מהמאמץ  שכן  יום ראינו נופים מרהיבים  לדוגמא  יום השני התעוררנו מול מבצר מונפורט  היה נוף יפייפה לשתות קפה מול נוף שכזה היה תענוג רציני  אחרי שסיימנו הטיול  החלטנו להישאר יום אחד נוסף  יום שבו שכרנו צימר סוף סוף אחרי שלושה לילות ישנו מיטה חמה  התנאים מסע היו קשים  היה הרבה אוכל הלילות היו קפואים  לילה אחד היה כלכך שלא ישנו כמעט  אחד החברים שלי ישן חולצה תרמית מעלייה חולצה גקט מעיל מעל היה שינה עדיין היה קר  אומנם המסע היה קשה  אבל מאוד נהנתי  צחקנו החברים המון מענו מוזיקה  טיילנו רחבי הארץ כשהגענו לכנרת הייתה הרגשת ניצחון שאין כמותה הייתה כמותה  לילה האחרון היינו צימר  קנינו אלכוהול חגגנו הניצחון האדיר ללכת שבעים קילומטר לכנרת  חגגנו רוב הלילה שתינו המון כשהתעוררנו ארזנו התיקים נסענו הביתה  אני מתכנן לעשות המסע מסעות אחרים שוב  אומנם מאוד קשים אבל מביאים הרגשת שלווה שאי אפשר להשיג שום מקום אחר חיים  לסיכום  אני ממליץ לכל אחד לעשות המסע הזה  אמת מסע קסום שלא תצטערו עליו  אומנם הוא קשה אבל תגיעו לסוף אתם תרגישו הרגשה מטורפת שלא תעזוב אתכם להמון זמן ,m
8,לפני מספר חודשים  יום שמש היר  קמתי בוקר למה שהייתי טוח שיהיה עוד יום שגרתי  צחצחתי שיניים  התארגנתי  הכנתי ארוחת קר  תוך כדי שאני אוכל אחי אמר   יאללה תשים עליך משהו נצא   נצא לאן   שאלתי  הוא ענה  הפתעה  היה מוזר  אבל זרמתי  היה שבוע ערך אחרי היום הולדת שלי הבנתי שזה כנראה קשור  נכנסו לרכב התחלנו נסיעה שעה ערך  הנסיעה ניסיתי להבין מדובר אבל הוא היה מוכן לגלות  שהגענו למקום ראיתי מסלול ההמראה  המטוסים הקלים  הבנתי כנראה מדובר  צניחה חופשית  אחרי התארגנות תדרוך קצרצר הנחו אותנו הסבירו לנו לפרטים עלנו לעשות  שמנו עלינו הסרבלים שאר הציוד עלינו המטוס  המטוס היה מטוס קל  קטנטן עלינו עליו ערך חמישה זוגות  המטוס המריא אחרי ערך 10 20 דקות טיסה הגענו לגובה כ11 אלף רגל הגיעה הרגע לקפוץ  ההתרגשות שיא  מרוב הלחץ לרגע חשבתי פעמיים לעשות לא  אבל ידעתי שאני אתחרט אעשה החלטתי ללכת זה  הזוג הראשון קפץ  תוך רגע נעלמים מהעיניים  זוג שני קפץ  הגיע תורנו  התקרבנו לדלת המטוס  מרגיש קצת הזוי להיות גובה כזה לראות הנוף להבין שאתה צריך לצאת מהמטוס  המדריך ספר לקפוץ  קפצנו מהמטוס התחלנו נפילה חופשית  ההרגשה הייתה מטורפת  הבטן נדבקת לגב  הרוח פנים הנוף היה מדהים  הידיים פרושות לצדדים אתה מרגיש חופשי  יחד איתנו קפץ צלם שתיעד הכל  אחרי ערך דקה נפילה חופשית המצנח נפתח נשארנו להתבונן נוף המדהים  מהאוויר רואים כמעט מישור החוף  אחרי צניחה רגועה עוד כ10 דקות ערך אוויר הגענו לקרקע  נחיתה חשוב לקפל הברכיים כדי לשבור אותם טעות  נחתנו בטחה  הפה היה עוד יבש האדרנלין היה שיא  קשה לתאר מילים כמה החוויה הזאת מטורפת  סיום הודנו למדריך לצוות חזרנו הביתה חוויה שלא נשכח ,m
9,אני אדם שנוטה לשתף חייו האישיים  אבל אולי אוכל לחסוך עוגמת הנפש לאורחים נוספים שמגיעים משלמים ממיטב כספם כדי להנות משהייה מלון טוב ארץ אני אתחיל מההתחלה  אני ארוסי סגרנו לחג פסח שני מלון רויאל יץ  אילת  כמונו סגרו עוד כמה זוגות חברים  חשוב לציין אני מתארח קבוע מלון חוג שמש משך שנים שבכל חופשה שלי אילת אני מתארח אותו מלון מעולם עברתי שום דבר דומה לכך  החדרים שריינו חודשיים לפניי  שכמו שידוע לכולכם המחירים היו מוזלים יותר מאשר לסגור יום לפניי פסח  הרי לפניי חודשיים ידענו איפה הסגר עומד כלל יהיה ניתן לסוע לכן המלון הוזילו המחירים  לאחר שמנהלת הקבלה מלון ראתה ההזמנה שלנו העלויות שלה החליטה לחייג אליי להסביר עצם דרך מאוד מוזרה אני טוחה שלא חוקית מדוע ניתן לתת לנו המחירים האלו  ניסיתי לגלות הבנה נוגע למאורע הגעתי איתה להסכמה שאת החדרים שסגרנו עלות 5 600 היא תעלה לנו ל7 000 שימו החדרים 5 600 סגרנו דרך אתר ישרוטל ההזמנה קיבלנו אישור הזמנה שבתוך אישור ההזמנה כמובן מצוינות העלויות שתואמו מולנו  5 600  חרנו להתעמת המנהלת כדי להשאיר המחיר שעליו סגרנו מנת שהחופשה תהיה יותר נעימה עבור כולנו  הפיתרון הפשוט היה להסכים איתה כדי למנוע נעימויות לטפל ישירות מול שירות הלקוחות ישרוטל  הרי מדובר רשת קטנה שאמורה להתנהל לפי חוק הגנת הצרכן  היה סיימנו שיחתנו מנהלת הקבלה ישירות חייגנו לשירות לקוחות ישרוטל  השיחה שירות הלקוחות ישרוטל העברנו נעימות בהבנה רור לשתי הצדדים שכמו שחוק הגנת הצרכן אומר יהיה מידה סגרתי דיל כלשהו מול מלון אכן קיבלתי אישור הזמנה אין למלון האופציה לשנות המחיר התבסס כלום  התחילה החופשה המהנה שלנו שכולה הייתה התעסקות מיותרת לקבל שמגיע לנו  הגענו למלון 31 03 כמו שתוכנן כמו הדיל שסגרנו מנת להתחיל החופשה להפתעתנו הקבלה שלנו למלון מנהלת הקבלה מחכה לנו קוצר רוח טענה שלצערה שסוכם מול שירות הלקוחות התבסס שזה חג  שוב חשוב לציין שקיבלנו אישור הזמנה התאריכים הללו  המשך לטענתה אמרה רויטל  אם מתאים לכם המחיר 7 000 אתם יותר ממוזמנים לקחת המזוודות שלכם לעזוב המלון שלנו  אנחנו  שהשקענו הרבה מאמצים הכנה הגעה לאילת חרנו להנות מהחופשה מקום לתת לזה להשפיע עלינו  מיותר לציין שכל ההתנהלות מולה צורת דיבור סגנון ההתנהלות שלה מולנו מתנשא אפילו מבזה  מדובר עבירה החוק  אנחנו חיים מדינת חוק שאמור להקנה לנו יטחון מקום אנחנו חיים חוק הגנת הצרכן אומר שבמידה רכשת משהו עלות מסוימת אין אפשרות לדרוש עליו יותר ממחירו לאחר קנייתו  לאחר שהשקענו תסכול מאמצים להגיע לאיזה שהו גורם סמכותי מלון לדוגמא המנכל חיים כהן שאין שום דרך צורה להגיע אליו  הניסיונות שביצענו ללא הצלחה פשוט יתרנו    פיצו החברים שלי ארוחת ערב מלון ניסו להשתיק הסיפור ,m
